,37-39,37-39,37-39,37-53,37-53,37-53,39-53,39-53,39-53
direction,PD,PE,PN,PD,PE,PN,PD,PE,PN
timestamp,,,,,,,,,
0 days 00:00:01.040040,-2.045827627182007,2.974833369255066,-7.957281846553087,-0.5825918515523274,1.5066003004709883,-7.747584475411309,1.4632357756296794,-1.4682330687840779,0.20969737114177814
0 days 00:00:01.080022,-2.0469535887241364,2.9752966165542603,-7.957785155624151,-0.5828411380449932,1.5071233411629996,-7.7476157115565405,1.4641124506791432,-1.4681732753912606,0.21016944406761062
0 days 00:00:01.080057,-2.0476419428984327,2.975631515185038,-7.958187480767568,-0.5830904245376589,1.5076463818550108,-7.747646947701772,1.4645515183607736,-1.4679851333300273,0.2105405330657959
0 days 00:00:01.100004,-2.0484885474046073,2.976097186406453,-7.958614601443211,-0.5834979613622031,1.5083001951376598,-7.74770297937923,1.4649905860424042,-1.4677969912687936,0.21091162206398117
0 days 00:00:01.100007,-2.0488200187683105,2.9762081801891327,-7.95880926400423,-0.5833903650442762,1.5085993309815724,-7.747526552942063,1.4654296537240346,-1.4676088492075603,0.21128271106216642
0 days 00:00:01.100024,-2.0492533147335052,2.9763285517692566,-7.959052687045187,-0.5832827687263489,1.5088984668254852,-7.747350126504898,1.4659705460071564,-1.4674300849437714,0.2117025605402887
0 days 00:00:01.119995,-2.0496866106987,2.9764489233493805,-7.959296110086143,-0.5832162598768871,1.5092797031005225,-7.747063485284646,1.4664703508218129,-1.467169220248858,0.2122326248014967
0 days 00:00:01.120022,-2.0502913892269135,2.97656246026357,-7.959517061710358,-0.5831497510274251,1.5096609393755596,-7.746776844064395,1.4671416381994884,-1.4669015208880105,0.21274021764596304
0 days 00:00:01.160022,-2.052589327096939,2.977440039316813,-7.960495469160377,-0.5847764015197756,1.5108062177896497,-7.747247658669948,1.4678129255771637,-1.4666338215271633,0.21324781049042943
0 days 00:00:01.160024,-2.0541305243968964,2.978034794330597,-7.961083108559251,-0.5856463114420574,1.5116686721642814,-7.747327705224355,1.468484212954839,-1.4663661221663156,0.2137554033348958
0 days 00:00:01.200018,-2.056633561849594,2.9786691665649414,-7.9619342209771276,-0.5865162213643391,1.5125311265389125,-7.747407751778762,1.470117340485255,-1.466138040026029,0.21452646919836607
0 days 00:00:01.200028,-2.0578364928563433,2.978916784127553,-7.96235493508478,-0.5867406924565632,1.5130828221638997,-7.7472556581099825,1.4710958003997803,-1.4658339619636536,0.21509927697479733
0 days 00:00:01.240027,-2.0590394238630934,2.9791644016901655,-7.962775649192433,-0.5871270815531413,1.513730565706889,-7.74698664645354,1.4719123423099518,-1.4654338359832764,0.21578900273889312
0 days 00:00:01.240043,-2.059088796377182,2.9792436957359314,-7.9632937354035676,-0.5875134706497191,1.514378309249878,-7.746717634797096,1.4715753257274629,-1.4648653864860535,0.21657610060647134
0 days 00:00:01.280008,-2.059271663427353,2.9794177412986755,-7.96388946659863,-0.5880333542823792,1.515120804309845,-7.746526268124581,1.4712383091449737,-1.4642969369888306,0.21736319847404956
0 days 00:00:01.280036,-2.059608280658722,2.9796635309855146,-7.964320469026764,-0.5885532379150389,1.515863299369812,-7.746334901452064,1.4710550427436828,-1.4638002316157024,0.21798556757469972
0 days 00:00:01.299965,-2.0596089859803515,2.979730407396952,-7.964561292901635,-0.5887372096379595,1.5164268811543782,-7.745953356226285,1.470871776342392,-1.463303526242574,0.2186079366753499
0 days 00:00:01.300005,-2.0596096913019815,2.9797972838083906,-7.964802116776506,-0.5889029389335994,1.5168312035855793,-7.745804883894467,1.470706752368382,-1.4629660802228108,0.21899723288203993
0 days 00:00:01.300019,-2.0595733374357224,2.979816257953644,-7.965103116817772,-0.5890686682292392,1.5172355260167802,-7.745656411562647,1.470504669206483,-1.4625807319368636,0.21944670525512525
0 days 00:00:01.319999,-2.059647351503372,2.9798852801322937,-7.965475086122751,-0.5893447654587882,1.5176898964813779,-7.745578908494541,1.470302586044584,-1.4621953836509158,0.2198961776282106
0 days 00:00:01.320063,-2.0599089860916138,2.9798614978790283,-7.965934014413506,-0.589620862688337,1.518144266945975,-7.745501405426434,1.4702881234032767,-1.461717230933053,0.2204326089870717
0 days 00:00:01.359998,-2.060778111219406,2.9802263975143433,-7.966659494675696,-0.5905044504574366,1.518987319299153,-7.745690454329763,1.4702736607619695,-1.4612390782151903,0.22096904034593282
0 days 00:00:01.360023,-2.0617455318570137,2.980680286884308,-7.967244333587587,-0.5913880382265364,1.5198303716523307,-7.745879503233092,1.4703574936304773,-1.4608499152319772,0.22136483035449475
0 days 00:00:01.399975,-2.0628556460142136,2.981272339820862,-7.967873995192349,-0.5924143195152283,1.5208115875720978,-7.746113374829292,1.4704413264989853,-1.460460752248764,0.22176062036305672
0 days 00:00:01.400011,-2.0639657601714134,2.9818643927574158,-7.968503656797111,-0.5934298379080636,1.5218116641044617,-7.746419329728399,1.4705359222633498,-1.4600527286529543,0.22208432706871206
0 days 00:00:01.400026,-2.064403474330902,2.982075134913127,-7.968877813157936,-0.5937729563031877,1.5224304298559825,-7.746469779383569,1.4706305180277144,-1.4596447050571444,0.22240803377436744
0 days 00:00:01.440008,-2.06508931517601,2.981843789418538,-7.969671154084305,-0.5941160746983118,1.5230491956075032,-7.7465202290387385,1.4709732404776983,-1.4587945938110352,0.22315092504556697
0 days 00:00:01.440013,-2.0652160346508026,2.982570230960846,-7.970060732681304,-0.5944591930934362,1.523667961359024,-7.7465706786939075,1.4707568415573664,-1.458902269601822,0.22349005398739666
0 days 00:00:01.480031,-2.065359741449356,2.9834402203559875,-7.9705434534698725,-0.5948192988123213,1.524430274963379,-7.746714270540646,1.4705404426370348,-1.4590099453926086,0.22382918292922638
0 days 00:00:01.480044,-2.0656591206789017,2.9840513467788696,-7.970913171302527,-0.5951794045312064,1.5251925885677338,-7.746857862387385,1.4704797161476952,-1.4588587582111359,0.22405530891514253
0 days 00:00:01.499969,-2.065788447856903,2.984477400779724,-7.971142222173512,-0.5953694581985474,1.525769829750061,-7.746860787272453,1.4704189896583557,-1.458707571029663,0.2242814349010587
0 days 00:00:01.499989,-2.0659177750349045,2.9849034547805786,-7.971371273044497,-0.5953342403684343,1.5263630194323405,-7.74692386175905,1.4705835346664702,-1.458540435348238,0.22444741128544723
0 days 00:00:01.500029,-2.065860738356908,2.985138972600301,-7.9714890619119005,-0.5951126586823237,1.5267656729334877,-7.746875674242065,1.4707480796745844,-1.458373299666813,0.22461338766983577
0 days 00:00:01.519996,-2.0655045906702676,2.9857317606608076,-7.971719052332143,-0.594891076996213,1.5271683264346352,-7.746827486725081,1.4706135136740548,-1.4585634342261722,0.22489156560706244
0 days 00:00:01.520001,-2.0654895156621933,2.9861579537391663,-7.971927334088832,-0.5946694953101024,1.5275709799357824,-7.746779299208096,1.470820020352091,-1.4585869738033839,0.2251480348807361
0 days 00:00:01.560001,-2.066047877073288,2.986999273300171,-7.972745887935162,-0.5950213500431607,1.5283887599195753,-7.747341383780752,1.4710265270301273,-1.4586105133805956,0.22540450415440974
0 days 00:00:01.560052,-2.0666901394724846,2.9876728951931,-7.973495549988002,-0.5953732047762192,1.5292065399033683,-7.747903468353408,1.4713169346962653,-1.4584663552897317,0.2255920816345939
0 days 00:00:01.599967,-2.0674955397844315,2.9884212613105774,-7.974363467656076,-0.5958881974220278,1.5300990641117096,-7.748583808541298,1.4716073423624036,-1.4583221971988678,0.22577965911477804
0 days 00:00:01.599982,-2.0683009400963783,2.989169627428055,-7.97523138532415,-0.5963161332266673,1.5309830478259496,-7.749341345259121,1.471984806869711,-1.4581865796021054,0.22589004006502883
0 days 00:00:01.599994,-2.0688230395317078,2.9897481203079224,-7.975884249433875,-0.5964607681546894,1.5316971583025796,-7.749883828418596,1.4723622713770184,-1.458050962005343,0.2260004210152796
0 days 00:00:01.640010,-2.0692591667175293,2.990500748157501,-7.976605820003897,-0.5966054030827115,1.5324112687792097,-7.750426311578069,1.4726537636348178,-1.4580894793782915,0.2261795084258275
0 days 00:00:01.640013,-2.069597840309143,2.991224467754364,-7.9772890051826835,-0.5966525844165258,1.5330964710031239,-7.750930409346308,1.4729452558926173,-1.4581279967512402,0.2263585958363754
0 days 00:00:01.680016,-2.0696167051792145,2.992003381252289,-7.977998299989849,-0.5966997657503401,1.5337816732270377,-7.7514345071145465,1.4729169394288744,-1.458221708025251,0.22656379287530265
0 days 00:00:01.680032,-2.0693187713623047,2.992500811815262,-7.978318376466632,-0.5964301483971732,1.534185392516,-7.751549386552402,1.4728886229651315,-1.4583154192992618,0.2267689899142299
0 days 00:00:01.699973,-2.0690857619047165,2.9928662180900574,-7.978560858871788,-0.5961605310440063,1.5345891118049622,-7.751664265990257,1.4729252308607101,-1.4582771062850952,0.2268965928815305
0 days 00:00:01.699999,-2.0688527524471283,2.993231624364853,-7.978803341276944,-0.5960772889001029,1.5349533770765578,-7.751789399555752,1.4727754635470254,-1.4582782472882951,0.22701394172119244
0 days 00:00:01.700019,-2.068699434399605,2.9935845136642456,-7.979044910520315,-0.5959940467561995,1.5353176423481534,-7.751914533121245,1.4727053876434053,-1.4582668713160922,0.2271303773990699
0 days 00:00:01.720003,-2.0685654282569885,2.993963658809662,-7.97931997757405,-0.5959301165172033,1.5357081634657725,-7.752073164497103,1.4726353117397852,-1.4582554953438893,0.22724681307694738
0 days 00:00:01.720045,-2.0685389637947083,2.994435489177704,-7.979668620042503,-0.5958661862782069,1.5360986845833915,-7.7522317958729605,1.4726727775165014,-1.4583368045943124,0.22743682416954206
0 days 00:00:01.759989,-2.06887423992157,2.9949600100517273,-7.980431395582855,-0.5961639966283525,1.536541896206992,-7.752804560320718,1.4727102432932173,-1.4584181138447352,0.22762683526213673
0 days 00:00:01.760065,-2.0692934542894363,2.9954658150672913,-7.981197271030395,-0.5964618069784982,1.5369851078305925,-7.753377324768474,1.4728316473109382,-1.4584807072366985,0.22781994626192106
0 days 00:00:01.799995,-2.069694370031357,2.995941698551178,-7.9820470698177814,-0.5967413187026978,1.5373983979225156,-7.754034012556076,1.472953051328659,-1.458543300628662,0.2280130572617054
0 days 00:00:01.800038,-2.07020565867424,2.996298273404439,-7.982849085548271,-0.5971232141767229,1.5378067940473554,-7.754635355302266,1.4730824444975172,-1.4584914793570836,0.22821373024600602
0 days 00:00:01.839982,-2.070899099111557,2.996701041857402,-7.983984172033767,-0.5976872614451816,1.5382613837718966,-7.75556976880346,1.4732118376663752,-1.4584396580855052,0.22841440323030662
0 days 00:00:01.840027,-2.071165531873703,2.996965765953064,-7.984579955693334,-0.5978243010384694,1.5385779291391373,-7.755964879478727,1.4733412308352334,-1.4583878368139267,0.22861507621460725
0 days 00:00:01.879994,-2.0708523988723755,2.9974859952926636,-7.985407366184518,-0.5979613406317572,1.538894474506378,-7.756359990153994,1.472891058240618,-1.4585915207862854,0.22904737603052386
0 days 00:00:01.880028,-2.0703551471233363,2.9979454278945923,-7.985885255038738,-0.5979142614773338,1.539150223135948,-7.756405579192298,1.4724408856460027,-1.458795204758644,0.22947967584644044
0 days 00:00:01.899999,-2.069564163684845,2.9985135793685913,-7.986402640119195,-0.5978671823229109,1.5394059717655182,-7.756451168230602,1.471696981361934,-1.4591076076030731,0.22995147188859322
0 days 00:00:01.900032,-2.0694458037614822,2.998656004667282,-7.986633340129629,-0.5978201031684875,1.5396617203950882,-7.756496757268906,1.4716257005929947,-1.458994284272194,0.23013658286072308
0 days 00:00:01.900094,-2.0693274438381195,2.998798429965973,-7.986864040140063,-0.5977587188993181,1.5399754920176099,-7.756484368017742,1.4715687249388014,-1.458822937948363,0.23037967212232094
0 days 00:00:01.919988,-2.0699006766080856,2.999046951532364,-7.9872239630203685,-0.5983889273234777,1.5403953599078315,-7.75660120163645,1.471511749284608,-1.4586515916245324,0.2306227613839188
0 days 00:00:01.920034,-2.070307056109111,2.999249219894409,-7.987507274063924,-0.5988522824786959,1.5407689745937074,-7.756641423418408,1.4714547736304147,-1.4584802453007017,0.23086585064551662
0 days 00:00:01.960018,-2.0703390439351397,3.000056505203247,-7.988374852420141,-0.5993156376339142,1.5411425892795836,-7.7566816452003655,1.4710234063012257,-1.4589139159236635,0.23169320721977527
0 days 00:00:01.960040,-2.07075472176075,3.0004605054855347,-7.988913755631074,-0.5997789927891324,1.5415162039654597,-7.756721866982324,1.4709757289716174,-1.458944301520075,0.23219188864875057
0 days 00:00:01.999983,-2.071209619442622,3.0008362134297686,-7.989446142067512,-0.600281567800613,1.5418615263132822,-7.756755571989785,1.470928051642009,-1.4589746871164866,0.23269057007772587
0 days 00:00:02.000044,-2.0717869003613787,3.0010764598846436,-7.989862241627028,-0.6007841428120932,1.542206848661105,-7.756789276997249,1.4710027575492857,-1.4588696112235386,0.2330729646297793
0 days 00:00:02.000066,-2.072364181280136,3.0013167063395185,-7.990278341186543,-0.601296731403896,1.5425294233219966,-7.756835584129606,1.4710674498762402,-1.458787283017522,0.23344275705693737
0 days 00:00:02.040001,-2.07300466299057,3.0015586614608765,-7.9907158189453185,-0.6018725207873754,1.5428537066493717,-7.756903269461223,1.4711321422031947,-1.4587049548115048,0.23381254948409547
0 days 00:00:02.040024,-2.073696196079254,3.0018988450368247,-7.990948521066457,-0.6024483101708549,1.5431779899767468,-7.75697095479284,1.4712478859083993,-1.4587208550600779,0.23397756627361693
0 days 00:00:02.080006,-2.0749118328094482,3.0022317568461103,-7.991314499173313,-0.6035482031958446,1.5434950015374593,-7.757171916110175,1.4713636296136037,-1.4587367553086508,0.23414258306313837
