direction,PE,PE,PE,PE,PE,PN,PN,PN,PN,PN,PD,PD,PD,PD,PD
log_diff,37,39,54,80,95,37,39,54,80,95,37,39,54,80,95
timestamp,,,,,,,,,,,,,,,
0 days 00:00:00.960030,-1.7650150259335837,1.2079037427902222,-0.9670771807432174,-0.19338477064262735,0.0,7.971725145975749,0.0156128387898206,-0.3570181280374527,0.07073214176026252,0.0,1.6828442414601643,-0.3569810688495636,-1.9754084944725032,0.39192865653471515,0.0002966139909403125
0 days 00:00:00.999946,-1.7651788393656414,1.2079524397850037,-0.9672789201140403,-0.1933463242920962,0.0,7.971874078114827,0.0156658468768,-0.3570038452744484,0.07126951149918812,0.0,1.683237353960673,-0.3572201281785965,-1.975274950265884,0.39220981706272473,0.0003389874182175
0 days 00:00:00.999969,-1.765342652797699,1.2080011367797852,-0.9674806594848632,-0.19330787794156506,0.0,7.972023010253906,0.0157188549637794,-0.3569895625114441,0.07180688123811371,0.0,1.6836304664611816,-0.3574591875076294,-1.9751414060592647,0.3924909775907343,0.000598297776984125
0 days 00:00:00.999989,-1.7655064662297568,1.2080498337745664,-0.9675848186016082,-0.1932694315910339,0.0,7.972171942392985,0.0157718630507588,-0.3569939136505127,0.0723442509770393,0.0,1.6840235789616902,-0.3576982468366623,-1.9751182397206621,0.3927721381187439,0.00085760813575075
0 days 00:00:01.000018,-1.7656702796618144,1.208098530769348,-0.9676889777183532,-0.19328093741621286,0.0,7.9723208745320635,0.0158248711377382,-0.3569982647895813,0.07319372466632294,0.0,1.684416691462199,-0.3579373061656952,-1.9750950733820594,0.39330633197511944,0.001116918494517375
0 days 00:00:01.000045,-1.765834093093872,1.2081708312034607,-0.9677931368350982,-0.19329244324139183,0.0,7.972469806671143,0.01594260614365335,-0.3570026159286499,0.07404319835560658,0.0,1.6848098039627075,-0.35851144790649414,-1.9750719070434566,0.39384052583149504,0.0013762288532839998
0 days 00:00:01.039999,-1.7661206126213074,1.2082431316375732,-0.9678972959518432,-0.19330394906657078,0.0,7.972801685333252,0.0160603411495685,-0.3570069670677185,0.07489267204489022,0.0,1.6854699850082397,-0.3590855896472931,-1.975048740704854,0.3943747196878706,0.0016355392120506248
0 days 00:00:01.040040,-1.766407132148743,1.2084262371063232,-0.9680014550685881,-0.19331545489174973,0.0,7.973133563995361,0.01585171744227405,-0.3570113182067871,0.07574214573417387,0.0,1.686130166053772,-0.35969746112823486,-1.9750255743662515,0.3949089135442461,0.00189484957081725
0 days 00:00:01.080022,-1.766687273979187,1.2086093425750732,-0.9681056141853333,-0.19332696071692868,0.0,7.973428249359131,0.0156430937349796,-0.3570156693458557,0.07659161942345752,0.0,1.6866442561149597,-0.3603093326091766,-1.9750024080276487,0.39544310740062166,0.002154159929583875
0 days 00:00:01.080057,-1.7669674158096311,1.2086504101753235,-0.9682097733020782,-0.19333846654210765,0.0,7.9737229347229,0.015562363900244198,-0.35702002048492426,0.07744109311274115,0.0,1.6871583461761477,-0.3604400306940078,-1.974979241689046,0.39597730125699726,0.0024134702883504998
0 days 00:00:01.099989,-1.7671728730201721,1.2086914777755737,-0.9683139324188232,-0.1933499723672866,0.0,7.973882675170898,0.015481634065508799,-0.35702437162399286,0.0782905668020248,0.0,1.6874945163726809,-0.3605707287788391,-1.9749560753504434,0.3965114951133728,0.0026727806471171247
0 days 00:00:01.100004,-1.767378330230713,1.208732545375824,-0.9684180915355682,-0.1933380812406539,0.0,7.974042415618896,0.0154009042307734,-0.35702872276306147,0.07868235185742374,0.0,1.687830686569214,-0.36070142686367035,-1.9749329090118408,0.39686254660288495,0.0029320910058837496
0 days 00:00:01.100007,-1.7674233198165894,1.2087736129760742,-0.9685222506523132,-0.19332619011402125,0.0,7.974112033843993,0.015320174396038,-0.35703307390213007,0.07907413691282268,0.0,1.6879564523696902,-0.3608321249485016,-1.974909742673238,0.39721359809239704,0.0031914013646503745
